0,0,0,0,-0.15
-0.7854,0.85953,-1.3876,0.70261,-0.15
-0.7854,-0.15715,-1.4999,1.8316,-0.15
-0.72664,-0.11968,-1.4124,1.7066,-0.15
-0.67474,-0.10578,-1.3184,1.5987,-0.15
-0.6288,-0.10892,-1.2185,1.502,-0.15
-0.588,-0.12484,-1.113,1.4123,-0.15
-0.588,-0.12484,-1.113,1.4123,-0.15
-0.55525,-0.10811,-1.2272,1.5099,-0.15
-0.51793,-0.10693,-1.3365,1.618,-0.15
-0.47516,-0.12855,-1.4407,1.7438,-0.15
-0.42584,-0.18616,-1.5391,1.8998,-0.15
-0.42584,-0.18616,-1.5391,1.8998,-0.15
-0.51703,-0.19159,-1.5452,1.9114,-0.15
-0.60833,-0.1875,-1.5407,1.9027,-0.15
-0.69824,-0.17497,-1.5255,1.875,-0.15
-0.7854,-0.15715,-1.4999,1.8316,-0.15
-0.7854,0.85953,-1.3876,0.70261,-0.15
0,0,0,0,-0.15
