0,0,0,0,-0.15
0.13553,0.10909,-0.59555,0.66099,-0.15
0.13553,-0.26749,-0.64916,1.0912,-0.15
0.13255,-0.29054,-0.58908,1.0541,-0.15
0.1297,-0.3148,-0.52749,1.0168,-0.15
0.12697,-0.34031,-0.46422,0.97906,-0.15
0.12435,-0.36711,-0.39908,0.94072,-0.15
0.12435,-0.36711,-0.39908,0.94072,-0.15
0.10379,-0.36397,-0.40665,0.94515,-0.15
0.083141,-0.3614,-0.41285,0.94878,-0.15
0.062419,-0.35941,-0.41766,0.9516,-0.15
0.041643,-0.358,-0.42109,0.95362,-0.15
0.041643,-0.358,-0.42109,0.95362,-0.15
0.062419,-0.35941,-0.41766,0.9516,-0.15
0.083141,-0.3614,-0.41285,0.94878,-0.15
0.10379,-0.36397,-0.40665,0.94515,-0.15
0.12435,-0.36711,-0.39908,0.94072,-0.15
0.12435,-0.36711,-0.39908,0.94072,-0.15
0.12184,-0.3953,-0.3318,0.90163,-0.15
0.11943,-0.42498,-0.26209,0.86161,-0.15
0.11711,-0.45631,-0.18959,0.82043,-0.15
0.11488,-0.48949,-0.11381,0.77783,-0.15
0.11488,-0.48949,-0.11381,0.77783,-0.15
0.095859,-0.48588,-0.122,0.78241,-0.15
0.076772,-0.48294,-0.12869,0.78616,-0.15
0.057628,-0.48066,-0.13387,0.78907,-0.15
0.038443,-0.47904,-0.13757,0.79114,-0.15
0.038443,-0.19604,-0.084398,0.45497,-0.15
0,0.12464,-0.61947,0.66936,-0.15
0,-0.25836,-0.67346,1.1063,-0.15
-0,-0.28113,-0.61339,1.0691,-0.15
0,-0.30512,-0.55188,1.0315,-0.15
0,-0.33035,-0.48876,0.99364,-0.15
0,-0.35686,-0.42384,0.95523,-0.15
0,-0.35686,-0.42384,0.95523,-0.15
-0,-0.38474,-0.35687,0.91614,-0.15
0,-0.41408,-0.28758,0.87619,-0.15
0,-0.44501,-0.21561,0.83516,-0.15
0,-0.47774,-0.14053,0.7928,-0.15
0,-0.19436,-0.087393,0.45629,-0.15
-0.045423,0.12291,-0.61681,0.66844,-0.15
-0.045423,-0.25937,-0.67076,1.1047,-0.15
-0.043451,-0.30619,-0.54917,1.0299,-0.15
-0.041643,-0.358,-0.42109,0.95362,-0.15
-0.039979,-0.41528,-0.28476,0.87457,-0.15
-0.038443,-0.47904,-0.13757,0.79114,-0.15
-0.038443,-0.47904,-0.13757,0.79114,-0.15
-0.059928,-0.41679,-0.28123,0.87255,-0.15
-0.083141,-0.3614,-0.41285,0.94878,-0.15
-0.10827,-0.31183,-0.53495,1.0213,-0.15
-0.13553,-0.26749,-0.64916,1.0912,-0.15
-0.13553,-0.26749,-0.64916,1.0912,-0.15
-0.1297,-0.3148,-0.52749,1.0168,-0.15
-0.12435,-0.36711,-0.39908,0.94072,-0.15
-0.11943,-0.42498,-0.26209,0.86161,-0.15
-0.11488,-0.48949,-0.11381,0.77783,-0.15
-0.11488,-0.20953,-0.060301,0.44436,-0.15
0,0,0,0,-0.15
